Removal_Reason,State,ABO,To_Date,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
All Removal Reason,Arizona,AB,415,30,41,40,28,31,22,23,20,22,31,12,15,17,17,17,10,9,7,9,7,7,16,6,1,5,3
All Removal Reason,Arkansas,All ABO,"3,256",174,218,158,139,138,136,111,140,156,147,144,165,141,153,152,136,138,115,122,98,108,94,87,110,87,85
All Removal Reason,Arkansas,O,"1,635",107,130,81,73,63,70,53,72,77,80,60,77,75,71,83,65,74,54,46,44,46,46,42,53,47,44
All Removal Reason,Arkansas,A,"1,075",49,61,46,41,47,48,39,46,53,43,54,69,48,52,35,51,38,39,49,43,44,29,28,42,24,24
All Removal Reason,Arkansas,B,442,15,20,26,21,23,14,12,16,23,22,22,13,14,25,28,19,25,17,22,10,17,16,12,13,11,12
All Removal Reason,Arkansas,AB,106,3,7,5,4,5,4,7,6,3,2,8,6,4,5,6,1,1,5,5,1,1,3,5,2,5,5
All Removal Reason,California,All ABO,"84,066","4,509","4,909","4,850","4,619","4,764","4,517","4,182","4,465","4,281","4,375","4,269","4,020","4,316","4,558","4,493","4,656","3,488","3,196","2,925","2,626","2,408","2,487","2,393","1,944","1,924","1,945"
All Removal Reason,California,O,"41,130","2,214","2,375","2,399","2,301","2,409","2,299","2,076","2,170","2,102","2,128","2,143","2,040","2,073","2,225","2,206","2,287","1,681","1,582","1,414","1,267","1,164","1,181","1,188",950,948,910
All Removal Reason,California,A,"27,139","1,406","1,552","1,523","1,440","1,471","1,411","1,298","1,434","1,382","1,465","1,324","1,295","1,409","1,424","1,471","1,485","1,140","1,047",968,892,814,846,782,614,658,642
All Removal Reason,California,B,"12,385",701,804,738,701,704,622,646,664,625,623,613,524,651,716,650,705,513,424,439,365,340,363,350,298,252,288
All Removal Reason,California,AB,"3,424",188,178,190,177,180,185,162,197,172,159,189,161,183,193,166,179,154,143,104,102,90,97,73,82,66,105
All Removal Reason,Colorado,All ABO,"9,385",526,686,782,719,642,480,486,494,437,465,448,400,379,324,343,372,291,310,300,259,263,223,213,202,164,172
All Removal Reason,Colorado,O,"4,446",233,328,383,345,316,238,209,226,203,216,211,198,183,155,163,175,150,154,139,121,121,102,101,89,79,89
All Removal Reason,Colorado,A,"3,454",215,245,279,265,231,163,185,182,161,171,162,135,131,123,133,137,98,102,117,103,101,97,74,81,69,59
All Removal Reason,Colorado,B,"1,131",61,86,90,90,75,54,72,71,52,56,61,43,47,37,30,48,32,43,37,22,29,20,34,21,12,19
All Removal Reason,Colorado,AB,356,17,27,30,19,20,25,20,15,21,22,14,24,18,9,17,12,11,11,7,13,12,4,4,11,4,5
All Removal Reason,Connecticut,All ABO,"6,172",382,409,424,449,384,308,322,289,313,319,321,245,209,171,168,185,189,172,185,186,169,164,172,174,178,137
All Removal Reason,Connecticut,O,"2,886",175,197,207,196,187,146,149,122,146,139,145,105,101,87,80,91,101,78,90,90,79,81,89,69,73,67
All Removal Reason,Connecticut,A,"2,077",120,126,141,166,117,106,118,104,102,111,117,94,63,51,59,55,64,61,64,65,48,54,47,69,68,38
All Removal Reason,Connecticut,B,937,73,71,64,69,64,42,43,50,48,48,46,38,31,24,22,26,19,26,21,23,28,22,27,29,30,27
All Removal Reason,Connecticut,AB,272,14,15,12,18,16,14,12,13,17,21,13,8,14,9,7,13,5,7,10,8,14,7,9,7,7,5
All Removal Reason,Delaware,All ABO,"1,213",51,65,84,113,106,149,151,121,105,85,60,54,39,26,3,6,6,3,5,5,3,0,1,4,2,1
All Removal Reason,Delaware,O,570,26,29,38,48,54,69,70,61,49,40,24,25,20,12,0,2,2,1,3,1,2,0,0,3,0,0
All Removal Reason,Delaware,A,390,19,21,24,35,30,43,54,39,38,28,25,21,10,9,1,3,3,1,1,2,1,0,1,0,1,0
All Removal Reason,Delaware,B,210,5,11,20,28,19,32,19,19,13,14,9,6,6,5,2,1,0,1,1,2,0,0,0,1,1,1
All Removal Reason,Delaware,AB,43,1,4,2,2,3,5,8,2,5,3,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0
All Removal Reason,District of Columbia,All ABO,"9,263",638,697,586,503,503,885,406,444,293,304,389,432,343,355,455,446,425,306,321,328,274,305,265,197,192,254
All Removal Reason,District of Columbia,O,"4,496",323,369,275,241,234,450,183,226,146,159,188,222,162,184,255,195,180,146,151,173,128,115,135,96,88,118
All Removal Reason,District of Columbia,A,"2,762",181,179,176,173,152,239,130,126,93,82,118,116,102,105,117,150,136,94,94,85,82,113,75,57,60,79
All Removal Reason,District of Columbia,B,"1,617",108,120,115,68,104,167,67,71,37,51,67,76,67,53,71,86,88,51,60,55,55,60,41,35,35,47
All Removal Reason,District of Columbia,AB,390,26,29,20,21,13,29,26,21,17,12,16,18,12,13,12,15,22,15,16,15,9,17,14,9,9,10
All Removal Reason,Florida,All ABO,"31,339","2,327","2,410","2,290","1,892","1,865","1,902","1,564","1,408","1,264","1,548","1,333","1,287","1,356","1,273","1,187","1,166","1,100",945,904,904,826,812,708,707,601,633
All Removal Reason,Florida,O,"15,006","1,119","1,167","1,080",933,904,905,721,696,594,751,659,622,628,644,595,536,549,444,444,426,420,377,356,335,264,315
All Removal Reason,Florida,A,"10,555",789,791,778,614,612,653,543,483,437,507,417,414,465,400,372,422,345,338,284,301,273,289,236,238,222,209
All Removal Reason,Florida,B,"4,503",335,344,343,267,282,258,235,182,178,233,201,200,207,178,162,171,161,140,134,137,104,115,82,102,85,86
All Removal Reason,Florida,AB,"1,281",84,108,89,78,67,86,65,47,55,58,56,51,56,51,58,37,45,23,42,40,29,31,34,32,30,23
All Removal Reason,Georgia,All ABO,"18,745","1,313","1,590","1,479","1,483","1,657","1,236",962,850,888,870,866,687,655,585,565,512,542,452,466,469,438,365,341,328,378,308
All Removal Reason,Georgia,O,"8,959",630,741,691,751,804,562,439,387,430,419,419,342,327,271,260,265,266,232,215,209,221,181,168,151,185,159
All Removal Reason,Georgia,A,"5,973",408,500,451,450,495,390,315,300,286,290,269,215,195,192,188,162,159,133,176,166,145,133,103,117,116,104
All Removal Reason,Georgia,B,"3,017",211,268,266,227,287,220,164,127,135,136,148,102,114,99,98,68,91,67,63,71,53,34,57,47,63,36
All Removal Reason,Georgia,AB,798,64,81,71,55,71,64,44,36,37,25,30,28,19,23,19,17,26,20,12,23,19,17,13,13,14,9
All Removal Reason,Hawaii,All ABO,"2,189",65,110,155,104,109,143,87,98,82,79,86,88,103,93,110,136,105,86,86,73,62,61,51,44,49,36
All Removal Reason,Hawaii,O,846,17,43,53,41,48,53,38,41,20,33,33,33,30,42,34,75,48,27,43,20,23,21,22,21,21,12
All Removal Reason,Hawaii,A,758,34,33,56,33,42,39,29,30,35,31,25,34,37,26,38,33,31,33,30,31,24,25,11,18,21,17
All Removal Reason,Hawaii,B,462,8,28,39,21,16,39,17,19,24,13,21,18,27,22,29,23,20,22,11,17,11,9,15,5,5,5
All Removal Reason,Hawaii,AB,123,6,6,7,9,3,12,3,8,3,2,7,3,9,3,9,5,6,4,2,5,4,6,3,0,2,2
All Removal Reason,Illinois,All ABO,"27,232","1,297","1,545","1,454","1,523","1,692","1,404","1,419","1,388","1,253","1,282","1,248","1,314","1,163","1,135","1,232","1,199","1,167","1,095","1,082",933,957,865,837,826,831,727
All Removal Reason,Illinois,O,"12,828",637,769,713,747,830,654,638,662,602,610,575,602,568,546,549,543,548,525,515,420,421,372,377,374,408,337
All Removal Reason,Illinois,A,"9,111",436,464,462,494,531,453,480,461,412,426,433,449,382,377,438,388,408,394,362,323,370,309,281,280,280,238
All Removal Reason,Illinois,B,"4,149",182,251,225,226,257,245,240,206,185,183,183,205,162,175,186,201,165,128,166,157,128,152,135,126,123,114
All Removal Reason,Illinois,AB,"1,151",42,61,54,56,74,52,61,59,54,63,57,58,51,37,59,67,46,48,39,33,38,32,44,46,21,38
All Removal Reason,Indiana,All ABO,"8,862",538,581,534,534,564,565,547,515,560,501,474,419,372,384,285,309,289,283,250,203,195,170,179,142,158,167
All Removal Reason,Indiana,O,"4,078",234,294,255,233,229,245,235,258,270,239,223,206,171,177,128,128,120,140,116,91,74,79,88,71,74,79
All Removal Reason,Indiana,A,"3,380",209,191,176,209,245,224,222,179,203,197,163,150,148,134,119,129,125,112,102,70,83,63,64,54,63,66
All Removal Reason,Indiana,B,"1,095",83,77,91,77,71,67,71,58,58,51,68,45,38,54,29,37,34,23,25,36,29,20,26,13,14,19
All Removal Reason,Indiana,AB,309,12,19,12,15,19,29,19,20,29,14,20,18,15,19,9,15,10,8,7,6,9,8,1,4,7,3
All Removal Reason,Iowa,All ABO,"4,873",333,345,354,326,274,277,268,311,256,242,254,210,169,149,148,138,131,134,140,127,129,131,109,115,103,98
All Removal Reason,Iowa,O,"2,248",154,171,166,159,114,133,105,134,135,103,136,90,88,79,60,56,55,63,73,62,51,53,48,49,51,49
All Removal Reason,Iowa,A,"1,832",113,127,118,110,111,103,112,125,80,99,80,80,54,44,61,60,58,46,58,42,60,52,49,56,38,39
All Removal Reason,Iowa,B,629,57,36,60,39,42,33,41,45,30,26,32,34,25,19,21,20,15,19,7,17,14,17,10,9,8,9
All Removal Reason,Iowa,AB,165,9,11,10,18,7,8,10,7,11,14,6,6,2,7,6,2,3,6,2,6,4,9,2,1,6,1
All Removal Reason,Kansas,All ABO,"3,593",218,197,178,179,240,222,219,192,209,183,160,194,177,138,110,121,126,111,119,99,88,107,77,85,55,74
All Removal Reason,Kansas,O,"1,674",104,94,83,83,118,105,101,84,90,92,72,97,82,61,55,64,73,46,53,41,38,44,36,41,28,29
All Removal Reason,Kansas,A,"1,355",78,68,72,72,90,87,81,73,93,68,62,64,51,60,37,41,41,42,46,43,33,47,29,30,16,32
All Removal Reason,Kansas,B,442,29,29,17,21,28,27,30,20,24,15,16,27,39,10,13,11,11,18,13,11,13,11,12,13,6,12
All Removal Reason,Kansas,AB,122,7,6,6,3,4,3,7,15,2,8,10,6,5,7,5,5,1,5,7,4,4,5,0,1,5,1
All Removal Reason,Kentucky,All ABO,"5,387",347,407,375,354,306,268,280,257,258,215,209,214,202,204,179,191,163,182,172,161,166,148,153,147,143,128
All Removal Reason,Kentucky,O,"2,556",165,217,182,154,120,116,140,139,116,101,98,103,101,92,80,88,85,99,81,57,72,69,87,70,67,52
All Removal Reason,Kentucky,A,"2,052",142,129,136,155,139,108,98,82,94,81,84,87,84,63,73,70,54,59,73,77,66,60,54,52,52,53
All Removal Reason,Kentucky,B,587,33,44,47,33,38,27,31,22,41,25,19,18,10,39,20,22,20,16,12,17,20,16,10,18,20,20
All Removal Reason,Kentucky,AB,194,7,17,10,12,9,17,11,14,8,8,8,6,7,10,6,11,4,8,6,10,8,3,2,7,4,3
All Removal Reason,Louisiana,All ABO,"10,726",622,731,595,634,539,531,510,428,543,557,628,597,528,509,409,364,430,424,330,338,338,287,223,241,208,235
All Removal Reason,Louisiana,O,"5,307",326,376,302,320,268,284,260,212,276,271,300,260,271,248,185,170,216,199,178,187,174,145,92,121,99,105
All Removal Reason,Louisiana,A,"3,272",166,210,175,186,160,140,142,149,166,169,189,202,161,149,137,131,131,126,101,102,88,85,81,65,79,87
All Removal Reason,Louisiana,B,"1,730",104,122,91,103,84,89,93,55,80,96,114,106,77,99,60,52,68,79,38,42,61,49,36,36,25,30
All Removal Reason,Louisiana,AB,417,26,23,27,25,27,18,15,12,21,21,25,29,19,13,27,11,15,20,13,7,15,8,14,19,5,13
All Removal Reason,Maine,All ABO,"1,401",47,49,53,58,52,60,66,51,71,72,52,74,55,86,95,58,51,61,55,85,63,57,54,36,39,31
All Removal Reason,Maine,O,642,21,23,24,21,22,28,26,20,32,42,25,35,31,47,36,31,30,31,24,39,27,21,24,16,10,13
All Removal Reason,Maine,A,571,20,16,24,28,24,29,31,24,27,20,18,30,18,23,40,21,15,22,20,40,30,28,26,17,23,16
All Removal Reason,Maine,B,133,3,6,4,5,6,1,8,6,10,9,5,7,5,11,14,5,4,6,8,2,4,6,0,2,3,2
All Removal Reason,Maine,AB,55,3,4,1,4,0,2,1,1,2,1,4,2,1,5,5,1,2,2,3,4,2,2,4,1,3,0
All Removal Reason,Maryland,All ABO,"17,348",776,885,"1,010",971,860,895,827,737,818,706,611,761,597,643,742,649,644,635,724,829,872,805,635,545,495,411
All Removal Reason,Maryland,O,"8,052",347,422,458,422,426,400,375,350,385,334,296,352,256,310,370,333,307,294,322,394,409,360,275,245,223,173
All Removal Reason,Maryland,A,"5,743",231,269,321,327,250,318,299,225,283,240,195,256,216,209,245,202,211,208,261,277,292,262,226,196,175,163
All Removal Reason,Maryland,B,"2,806",151,161,180,173,149,139,123,124,125,96,95,120,97,94,104,95,104,111,110,123,133,139,105,84,61,59
All Removal Reason,Maryland,AB,751,47,33,51,49,35,38,30,38,25,36,25,33,28,30,23,19,22,22,31,35,38,44,29,20,36,16
All Removal Reason,Massachusetts,All ABO,"14,170",748,932,803,819,827,749,795,648,591,570,630,596,590,583,630,591,526,479,477,477,442,431,374,423,429,411
All Removal Reason,Massachusetts,O,"6,726",406,443,384,392,389,346,377,282,308,274,298,283,273,272,297,302,261,233,198,230,216,193,179,192,200,197
All Removal Reason,Massachusetts,A,"4,938",224,340,285,300,303,271,271,223,184,197,228,211,207,199,211,179,175,153,197,160,159,149,131,154,152,144
All Removal Reason,Massachusetts,B,"1,916",83,109,101,95,107,107,121,102,73,80,81,73,93,88,95,86,72,71,69,59,47,69,50,56,61,54
All Removal Reason,Massachusetts,AB,593,35,40,33,32,28,25,26,41,26,20,23,29,17,24,27,24,18,22,13,28,20,20,14,21,16,16
All Removal Reason,Michigan,All ABO,"20,278",858,"1,028","1,182","1,151","1,168","1,038",953,986,962,976,924,"1,052","1,046",980,"1,001",859,822,728,772,680,653,623,634,630,513,542
All Removal Reason,Michigan,O,"9,181",393,463,528,538,572,475,429,461,429,454,410,474,510,429,450,396,350,316,358,332,290,268,272,292,205,246
All Removal Reason,Michigan,A,"7,210",282,365,423,396,404,360,338,325,347,340,324,379,329,357,381,300,308,264,268,236,234,230,233,229,213,193
All Removal Reason,Michigan,B,"2,984",153,155,185,176,154,152,139,158,129,146,152,155,155,134,131,121,117,114,115,89,104,98,88,73,75,74
All Removal Reason,Michigan,AB,904,30,45,46,41,38,51,47,42,57,36,38,44,52,60,39,42,47,34,31,23,25,27,41,36,20,29
All Removal Reason,Minnesota,All ABO,"14,199",704,867,838,838,911,876,730,674,638,631,616,613,572,574,598,506,519,505,462,518,560,465,408,378,389,385
All Removal Reason,Minnesota,O,"6,216",299,382,378,372,374,408,307,293,294,248,248,263,267,251,265,220,239,236,217,221,243,196,179,164,176,179
All Removal Reason,Minnesota,A,"5,488",267,317,311,325,362,304,296,259,237,257,248,240,214,221,226,199,196,204,171,211,232,177,166,144,161,153
All Removal Reason,Minnesota,B,"1,875",103,127,110,111,136,120,101,93,76,98,85,83,70,74,80,62,68,51,49,65,67,70,48,50,36,35
All Removal Reason,Minnesota,AB,623,35,41,39,30,39,44,26,29,31,28,35,27,21,28,27,25,16,14,25,21,18,22,15,20,16,18
All Removal Reason,Mississippi,All ABO,"2,898",246,231,234,214,202,148,117,128,147,130,121,111,123,142,44,40,59,58,70,85,57,71,80,54,66,58
All Removal Reason,Mississippi,O,"1,454",116,107,116,115,92,89,73,61,75,63,75,60,59,64,19,23,28,28,37,41,33,44,43,25,22,27
All Removal Reason,Mississippi,A,845,84,71,67,64,70,36,25,40,43,31,20,33,37,45,14,11,11,13,24,26,16,12,16,20,33,17
All Removal Reason,Mississippi,B,487,43,41,43,30,30,19,12,21,23,32,22,14,20,28,9,4,18,16,7,15,5,12,15,8,8,11
All Removal Reason,Mississippi,AB,112,3,12,8,5,10,4,7,6,6,4,4,4,7,5,2,2,2,1,2,3,3,3,6,1,3,3
All Removal Reason,Missouri,All ABO,"12,584",732,843,730,709,642,663,564,533,574,604,607,604,523,598,615,464,438,390,396,391,418,404,377,358,310,341
All Removal Reason,Missouri,O,"5,852",334,399,332,337,296,319,269,251,254,284,287,259,244,303,274,219,206,191,175,195,201,191,175,160,120,151
All Removal Reason,Missouri,A,"4,634",266,301,272,248,234,223,195,201,229,226,218,236,187,205,222,166,165,141,147,130,158,149,145,152,136,140
All Removal Reason,Missouri,B,"1,631",106,105,96,95,90,95,80,60,70,67,74,96,67,77,100,55,53,47,59,55,42,46,47,37,40,38
All Removal Reason,Missouri,AB,468,26,38,30,29,22,26,20,21,21,27,28,13,25,13,19,24,14,11,15,11,17,18,10,9,14,12
All Removal Reason,Nebraska,All ABO,"3,518",165,210,191,201,179,197,175,220,198,198,147,182,115,147,151,108,129,108,105,102,113,91,113,78,99,82
All Removal Reason,Nebraska,O,"1,617",73,94,81,78,93,88,80,114,88,85,74,78,54,70,68,56,55,47,57,51,52,39,57,38,38,36
All Removal Reason,Nebraska,A,"1,338",57,81,81,84,61,79,72,72,67,78,47,82,44,56,58,37,55,44,33,31,42,36,44,28,42,37
All Removal Reason,Nebraska,B,448,30,27,25,31,22,25,18,25,35,24,22,15,13,17,22,14,15,13,12,17,14,11,9,9,15,4
All Removal Reason,Nebraska,AB,115,5,8,4,8,3,5,5,9,8,11,4,7,4,4,3,1,4,4,3,3,5,5,3,3,4,5
All Removal Reason,Nevada,All ABO,"2,149",110,73,78,100,87,96,73,76,80,99,87,111,144,108,111,89,89,117,98,95,105,77,67,91,53,42
All Removal Reason,Nevada,O,"1,044",53,34,41,47,42,47,30,39,36,46,44,62,75,59,48,41,41,66,47,44,54,40,25,51,23,22
All Removal Reason,Nevada,A,693,39,24,24,31,30,31,22,24,26,30,29,26,39,26,36,32,35,32,31,36,33,27,27,28,21,16
All Removal Reason,Nevada,B,313,12,11,10,19,14,11,15,7,15,16,9,22,22,14,18,14,9,16,15,8,15,8,14,11,9,1
All Removal Reason,Nevada,AB,99,6,4,3,3,1,7,6,6,3,7,5,1,8,9,9,2,4,3,5,7,3,2,1,1,0,3
All Removal Reason,New Hampshire,All ABO,"1,057",32,44,40,35,65,65,49,53,69,82,64,66,53,60,58,49,43,37,31,24,14,23,26,20,29,32
All Removal Reason,New Hampshire,O,460,9,20,19,16,25,27,20,21,25,35,36,29,32,18,22,28,20,15,11,13,8,10,7,10,12,18
All Removal Reason,New Hampshire,A,445,18,16,15,15,31,27,22,21,32,34,23,28,18,36,28,17,15,18,14,7,4,10,15,9,12,7
All Removal Reason,New Hampshire,B,104,3,8,5,3,6,6,6,4,9,7,4,4,3,4,4,2,7,3,5,3,2,2,3,0,4,4
All Removal Reason,New Hampshire,AB,48,2,0,1,1,3,5,1,7,3,6,1,5,0,2,4,2,1,1,1,1,0,1,1,1,1,3
All Removal Reason,New Jersey,All ABO,"18,546",800,946,898,971,914,"1,059","1,185","1,095",945,973,930,926,962,978,859,911,885,711,697,676,628,588,393,354,309,293
All Removal Reason,New Jersey,O,"8,636",369,438,457,461,424,484,605,522,442,449,462,440,430,473,395,435,390,315,332,301,297,263,167,154,133,145
All Removal Reason,New Jersey,A,"5,913",261,305,241,301,298,338,326,333,297,310,275,279,316,302,271,291,301,249,217,228,201,209,129,139,112,97
All Removal Reason,New Jersey,B,"3,099",138,157,151,153,150,182,214,205,157,170,153,158,167,154,145,142,153,115,114,108,95,83,68,51,44,40
All Removal Reason,New Jersey,AB,901,32,46,49,56,42,55,40,35,49,44,40,49,49,49,48,44,41,32,34,39,35,33,29,10,20,11
All Removal Reason,New Mexico,All ABO,"2,700",146,154,140,151,143,129,159,117,106,122,128,122,103,89,121,95,75,87,80,75,94,75,89,74,98,90
All Removal Reason,New Mexico,O,"1,474",83,76,74,91,72,69,84,67,61,67,56,81,53,57,68,55,42,48,46,35,47,44,52,35,47,50
All Removal Reason,New Mexico,A,901,43,47,48,44,53,40,56,40,32,45,51,32,37,24,39,33,25,29,27,35,39,26,23,26,35,29
All Removal Reason,New Mexico,B,248,14,26,15,12,14,15,13,7,7,8,20,8,10,3,12,6,5,10,6,2,7,5,9,8,12,6
All Removal Reason,New Mexico,AB,78,6,5,3,4,4,5,6,3,6,2,1,1,3,5,2,1,3,0,1,3,1,0,5,5,4,5
All Removal Reason,New York,All ABO,"45,075","2,552","2,988","3,054","2,935","2,675","2,544","2,412","2,195","2,337","2,295","2,174","2,239","2,217","2,128","2,014","1,834","1,467","1,361","1,461","1,362","1,425","1,361","1,162","1,134",995,955
All Removal Reason,New York,O,"21,222","1,214","1,415","1,480","1,431","1,255","1,133","1,161","1,047","1,064","1,109","1,087","1,086","1,057","1,032",961,805,728,625,694,627,664,655,509,544,439,448
All Removal Reason,New York,A,"14,489",778,952,933,915,844,839,748,692,763,725,680,674,690,684,633,625,449,461,460,445,481,455,420,380,359,315
All Removal Reason,New York,B,"7,326",448,482,502,465,457,456,380,365,393,349,325,384,362,310,319,303,235,218,233,224,229,187,185,172,144,153
All Removal Reason,New York,AB,"2,045",112,139,139,124,119,116,123,91,117,112,82,95,108,102,101,101,56,57,74,66,51,64,48,38,53,39
All Removal Reason,North Carolina,All ABO,"18,228","1,070","1,196","1,031","1,080","1,097","1,122","1,166","1,032","1,006",960,907,795,805,732,719,694,627,556,548,468,489,446,405,380,379,330
All Removal Reason,North Carolina,O,"8,829",508,567,490,537,524,547,574,511,513,460,423,417,391,361,362,320,306,274,281,220,231,212,186,175,198,135
All Removal Reason,North Carolina,A,"6,044",345,415,325,345,351,361,383,365,324,326,294,241,249,248,227,244,223,193,163,162,174,148,139,143,109,130
All Removal Reason,North Carolina,B,"2,666",175,179,177,165,172,163,163,125,133,145,138,108,132,99,95,107,78,66,91,71,69,69,63,52,47,50
All Removal Reason,North Carolina,AB,692,42,35,39,33,50,51,46,31,36,29,52,29,33,24,35,23,20,23,13,15,15,17,17,10,25,15
All Removal Reason,North Dakota,All ABO,"1,238",59,80,67,67,77,76,51,57,46,47,38,41,47,52,48,43,49,51,71,57,27,44,40,28,39,27
All Removal Reason,North Dakota,O,570,29,34,33,32,36,34,20,25,17,21,20,14,29,24,20,18,24,26,34,23,10,23,19,12,26,13
All Removal Reason,North Dakota,A,487,22,33,26,24,31,32,24,19,22,16,14,19,13,18,19,22,17,21,28,26,11,13,15,14,12,11
All Removal Reason,North Dakota,B,135,5,10,6,9,6,8,6,10,6,7,4,5,4,8,6,1,7,3,6,6,6,6,3,2,1,1
All Removal Reason,North Dakota,AB,46,3,3,2,2,4,2,1,3,1,3,0,3,1,2,3,2,1,1,3,2,0,2,3,0,0,2
All Removal Reason,Ohio,All ABO,"21,434","1,407","1,368","1,217","1,150","1,194","1,114","1,183","1,046",951,928,881,860,984,876,886,774,813,728,686,736,698,639,637,608,587,661
All Removal Reason,Ohio,O,"9,803",651,646,536,492,564,525,534,497,449,465,405,408,450,403,385,344,402,346,332,314,331,290,286,267,262,307
All Removal Reason,Ohio,A,"7,851",509,470,478,443,444,406,461,366,325,289,300,289,363,334,320,302,275,260,237,267,250,238,248,227,220,245
All Removal Reason,Ohio,B,"2,906",182,189,158,167,146,147,151,146,135,140,145,121,129,98,142,92,102,92,85,117,89,92,76,88,78,89
All Removal Reason,Ohio,AB,876,65,63,45,48,40,36,37,37,42,34,31,42,42,41,39,36,34,30,32,38,28,19,27,26,27,20
All Removal Reason,Oklahoma,All ABO,"5,428",270,361,299,337,317,340,319,307,284,273,251,237,203,169,164,172,171,196,179,177,190,180,148,116,132,170
All Removal Reason,Oklahoma,O,"2,670",135,173,175,169,146,161,141,135,139,125,119,120,101,82,84,78,90,109,89,80,101,97,61,49,73,77
All Removal Reason,Oklahoma,A,"1,934",95,122,77,118,124,124,115,117,107,100,95,95,63,62,48,62,60,54,71,68,61,59,61,56,38,67
All Removal Reason,Oklahoma,B,663,29,49,41,40,37,41,56,45,31,41,29,14,34,18,26,30,18,29,15,24,23,20,21,10,19,16
All Removal Reason,Oklahoma,AB,161,11,17,6,10,10,14,7,10,7,7,8,8,5,7,6,2,3,4,4,5,5,4,5,1,2,10
All Removal Reason,Oregon,All ABO,"5,401",349,394,316,344,349,339,320,315,252,240,212,234,161,177,200,170,149,183,151,150,145,144,114,125,109,113
All Removal Reason,Oregon,O,"2,553",169,208,148,155,164,175,157,130,121,113,91,106,73,87,101,75,70,82,68,76,63,66,62,57,55,43
All Removal Reason,Oregon,A,"1,966",118,134,114,127,113,115,120,127,88,91,82,86,74,59,67,71,48,65,52,53,60,49,34,47,44,46
All Removal Reason,Oregon,B,675,51,35,44,56,54,37,33,45,30,27,28,29,11,24,26,22,26,24,20,17,13,20,12,20,5,20
All Removal Reason,Oregon,AB,207,11,17,10,6,18,12,10,13,13,9,11,13,3,7,6,2,5,12,11,4,9,9,6,1,5,4
All Removal Reason,Pennsylvania,All ABO,"40,535","1,970","2,349","2,304","2,394","2,360","2,333","2,157","2,139","2,035","1,922","2,050","1,955","1,933","1,788","1,861","1,651","1,578","1,578","1,515","1,382","1,473","1,260","1,221","1,218","1,199","1,101"
