State,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kentucky,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.09,0.08,0.08,0.09,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.13,0.13,0.13,0.13,0.14,0.13
Louisiana,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.08,0.09,0.09,0.10,0.10,0.11,0.11,0.12,0.12,0.12,0.11,0.13,0.12,0.14,0.14,0.13
Maine,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.07,0.07,0.08,0.08,0.08,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.11
Maryland,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.10,0.10,0.10,0.10,0.11,0.10,0.12,0.11
Massachusetts,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.10,0.09,0.09,0.10,0.09,0.08
Michigan,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.10,0.10,0.11,0.10,0.10,0.11,0.11,0.11,0.12,0.11
Minnesota,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09
Mississippi,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.10,0.11,0.10,0.10,0.10,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.15,0.14,0.14,0.14,0.15
Missouri,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.10,0.11,0.10,0.11,0.12,0.12,0.10,0.11,0.10
Montana,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.07,0.08,0.09,0.08,0.08,0.08,0.09,0.08
Nebraska,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.10,0.10,0.10
Nevada,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.10,0.09,0.10,0.10,0.10,0.11,0.10,0.11,0.11
New Hampshire,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.10,0.09
New Jersey,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.10,0.09,0.09,0.11,0.10,0.10
New Mexico,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.10,0.10,0.11,0.12,0.12,0.12,0.11,0.13,0.12
New York,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.10,0.10,0.11,0.10,0.10,0.11,0.11,0.11,0.11
North Carolina,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.10,0.11,0.10,0.11,0.11,0.11,0.11,0.11,0.12,0.12
North Dakota,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.09
Ohio,0.05,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.09,0.10,0.10,0.10,0.12,0.10,0.12,0.11,0.11,0.11,0.12,0.12
Oklahoma,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.10,0.10,0.10,0.11,0.11,0.12,0.11,0.12,0.12,0.12,0.13,0.12,0.12
Oregon,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.10,0.09,0.09,0.11,0.10,0.10,0.11,0.09
Pennsylvania,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.10,0.10,0.10,0.11,0.10,0.11,0.11,0.11,0.11
Rhode Island,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.10,0.09,0.09,0.09,0.10,0.09,0.11,0.10
South Carolina,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.10,0.12,0.12,0.13,0.12,0.12,0.13,0.13,0.13,0.13
South Dakota,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.10,0.08,0.09,0.09,0.09,0.08,0.11,0.09,0.11
Tennessee,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.13,0.14,0.14
Texas,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.11,0.12,0.13,0.12
Utah,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08
Vermont,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09
Virginia,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.10,0.11,0.10,0.10,0.10,0.10,0.11,0.11,0.11
Washington,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.10,0.09
West Virginia,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.10,0.10,0.10,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.14,0.15,0.15,0.15,0.16,0.16
Wisconsin,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.08,0.10,0.09,0.09,0.09
Wyoming,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.09,0.09,0.08
