,Removal_Reason,State,ABO,To_Date,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,removal_category
82,All Removal Reason,Kentucky,O,"2,556",165,217,182,154,120,116,140,139,116,101,98,103,101,92,80,88,85,99,81,57,72,69,87,70,67,52,Total
83,All Removal Reason,Kentucky,A,"2,052",142,129,136,155,139,108,98,82,94,81,84,87,84,63,73,70,54,59,73,77,66,60,54,52,52,53,Total
84,All Removal Reason,Kentucky,B,587,33,44,47,33,38,27,31,22,41,25,19,18,10,39,20,22,20,16,12,17,20,16,10,18,20,20,Total
85,All Removal Reason,Kentucky,AB,194,7,17,10,12,9,17,11,14,8,8,8,6,7,10,6,11,4,8,6,10,8,3,2,7,4,3,Total
86,All Removal Reason,Louisiana,All ABO,"10,726",622,731,595,634,539,531,510,428,543,557,628,597,528,509,409,364,430,424,330,338,338,287,223,241,208,235,Total
87,All Removal Reason,Louisiana,O,"5,307",326,376,302,320,268,284,260,212,276,271,300,260,271,248,185,170,216,199,178,187,174,145,92,121,99,105,Total
88,All Removal Reason,Louisiana,A,"3,272",166,210,175,186,160,140,142,149,166,169,189,202,161,149,137,131,131,126,101,102,88,85,81,65,79,87,Total
89,All Removal Reason,Louisiana,B,"1,730",104,122,91,103,84,89,93,55,80,96,114,106,77,99,60,52,68,79,38,42,61,49,36,36,25,30,Total
90,All Removal Reason,Louisiana,AB,417,26,23,27,25,27,18,15,12,21,21,25,29,19,13,27,11,15,20,13,7,15,8,14,19,5,13,Total
91,All Removal Reason,Maine,All ABO,"1,401",47,49,53,58,52,60,66,51,71,72,52,74,55,86,95,58,51,61,55,85,63,57,54,36,39,31,Total
92,All Removal Reason,Maine,O,642,21,23,24,21,22,28,26,20,32,42,25,35,31,47,36,31,30,31,24,39,27,21,24,16,10,13,Total
93,All Removal Reason,Maine,A,571,20,16,24,28,24,29,31,24,27,20,18,30,18,23,40,21,15,22,20,40,30,28,26,17,23,16,Total
94,All Removal Reason,Maine,B,133,3,6,4,5,6,1,8,6,10,9,5,7,5,11,14,5,4,6,8,2,4,6,0,2,3,2,Total
95,All Removal Reason,Maine,AB,55,3,4,1,4,0,2,1,1,2,1,4,2,1,5,5,1,2,2,3,4,2,2,4,1,3,0,Total
96,All Removal Reason,Maryland,All ABO,"17,348",776,885,"1,010",971,860,895,827,737,818,706,611,761,597,643,742,649,644,635,724,829,872,805,635,545,495,411,Total
97,All Removal Reason,Maryland,O,"8,052",347,422,458,422,426,400,375,350,385,334,296,352,256,310,370,333,307,294,322,394,409,360,275,245,223,173,Total
98,All Removal Reason,Maryland,A,"5,743",231,269,321,327,250,318,299,225,283,240,195,256,216,209,245,202,211,208,261,277,292,262,226,196,175,163,Total
99,All Removal Reason,Maryland,B,"2,806",151,161,180,173,149,139,123,124,125,96,95,120,97,94,104,95,104,111,110,123,133,139,105,84,61,59,Total
100,All Removal Reason,Maryland,AB,751,47,33,51,49,35,38,30,38,25,36,25,33,28,30,23,19,22,22,31,35,38,44,29,20,36,16,Total
101,All Removal Reason,Massachusetts,All ABO,"14,170",748,932,803,819,827,749,795,648,591,570,630,596,590,583,630,591,526,479,477,477,442,431,374,423,429,411,Total
102,All Removal Reason,Massachusetts,O,"6,726",406,443,384,392,389,346,377,282,308,274,298,283,273,272,297,302,261,233,198,230,216,193,179,192,200,197,Total
103,All Removal Reason,Massachusetts,A,"4,938",224,340,285,300,303,271,271,223,184,197,228,211,207,199,211,179,175,153,197,160,159,149,131,154,152,144,Total
104,All Removal Reason,Massachusetts,B,"1,916",83,109,101,95,107,107,121,102,73,80,81,73,93,88,95,86,72,71,69,59,47,69,50,56,61,54,Total
105,All Removal Reason,Massachusetts,AB,593,35,40,33,32,28,25,26,41,26,20,23,29,17,24,27,24,18,22,13,28,20,20,14,21,16,16,Total
106,All Removal Reason,Michigan,All ABO,"20,278",858,"1,028","1,182","1,151","1,168","1,038",953,986,962,976,924,"1,052","1,046",980,"1,001",859,822,728,772,680,653,623,634,630,513,542,Total
107,All Removal Reason,Michigan,O,"9,181",393,463,528,538,572,475,429,461,429,454,410,474,510,429,450,396,350,316,358,332,290,268,272,292,205,246,Total
108,All Removal Reason,Michigan,A,"7,210",282,365,423,396,404,360,338,325,347,340,324,379,329,357,381,300,308,264,268,236,234,230,233,229,213,193,Total
109,All Removal Reason,Michigan,B,"2,984",153,155,185,176,154,152,139,158,129,146,152,155,155,134,131,121,117,114,115,89,104,98,88,73,75,74,Total
110,All Removal Reason,Michigan,AB,904,30,45,46,41,38,51,47,42,57,36,38,44,52,60,39,42,47,34,31,23,25,27,41,36,20,29,Total
111,All Removal Reason,Minnesota,All ABO,"14,199",704,867,838,838,911,876,730,674,638,631,616,613,572,574,598,506,519,505,462,518,560,465,408,378,389,385,Total
112,All Removal Reason,Minnesota,O,"6,216",299,382,378,372,374,408,307,293,294,248,248,263,267,251,265,220,239,236,217,221,243,196,179,164,176,179,Total
113,All Removal Reason,Minnesota,A,"5,488",267,317,311,325,362,304,296,259,237,257,248,240,214,221,226,199,196,204,171,211,232,177,166,144,161,153,Total
114,All Removal Reason,Minnesota,B,"1,875",103,127,110,111,136,120,101,93,76,98,85,83,70,74,80,62,68,51,49,65,67,70,48,50,36,35,Total
115,All Removal Reason,Minnesota,AB,623,35,41,39,30,39,44,26,29,31,28,35,27,21,28,27,25,16,14,25,21,18,22,15,20,16,18,Total
116,All Removal Reason,Mississippi,All ABO,"2,898",246,231,234,214,202,148,117,128,147,130,121,111,123,142,44,40,59,58,70,85,57,71,80,54,66,58,Total
117,All Removal Reason,Mississippi,O,"1,454",116,107,116,115,92,89,73,61,75,63,75,60,59,64,19,23,28,28,37,41,33,44,43,25,22,27,Total
118,All Removal Reason,Mississippi,A,845,84,71,67,64,70,36,25,40,43,31,20,33,37,45,14,11,11,13,24,26,16,12,16,20,33,17,Total
119,All Removal Reason,Mississippi,B,487,43,41,43,30,30,19,12,21,23,32,22,14,20,28,9,4,18,16,7,15,5,12,15,8,8,11,Total
120,All Removal Reason,Mississippi,AB,112,3,12,8,5,10,4,7,6,6,4,4,4,7,5,2,2,2,1,2,3,3,3,6,1,3,3,Total
121,All Removal Reason,Missouri,All ABO,"12,584",732,843,730,709,642,663,564,533,574,604,607,604,523,598,615,464,438,390,396,391,418,404,377,358,310,341,Total
122,All Removal Reason,Missouri,O,"5,852",334,399,332,337,296,319,269,251,254,284,287,259,244,303,274,219,206,191,175,195,201,191,175,160,120,151,Total
123,All Removal Reason,Missouri,A,"4,634",266,301,272,248,234,223,195,201,229,226,218,236,187,205,222,166,165,141,147,130,158,149,145,152,136,140,Total
124,All Removal Reason,Missouri,B,"1,631",106,105,96,95,90,95,80,60,70,67,74,96,67,77,100,55,53,47,59,55,42,46,47,37,40,38,Total
125,All Removal Reason,Missouri,AB,468,26,38,30,29,22,26,20,21,21,27,28,13,25,13,19,24,14,11,15,11,17,18,10,9,14,12,Total
126,All Removal Reason,Nebraska,All ABO,"3,518",165,210,191,201,179,197,175,220,198,198,147,182,115,147,151,108,129,108,105,102,113,91,113,78,99,82,Total
127,All Removal Reason,Nebraska,O,"1,617",73,94,81,78,93,88,80,114,88,85,74,78,54,70,68,56,55,47,57,51,52,39,57,38,38,36,Total
128,All Removal Reason,Nebraska,A,"1,338",57,81,81,84,61,79,72,72,67,78,47,82,44,56,58,37,55,44,33,31,42,36,44,28,42,37,Total
129,All Removal Reason,Nebraska,B,448,30,27,25,31,22,25,18,25,35,24,22,15,13,17,22,14,15,13,12,17,14,11,9,9,15,4,Total
130,All Removal Reason,Nebraska,AB,115,5,8,4,8,3,5,5,9,8,11,4,7,4,4,3,1,4,4,3,3,5,5,3,3,4,5,Total
131,All Removal Reason,Nevada,All ABO,"2,149",110,73,78,100,87,96,73,76,80,99,87,111,144,108,111,89,89,117,98,95,105,77,67,91,53,42,Total
132,All Removal Reason,Nevada,O,"1,044",53,34,41,47,42,47,30,39,36,46,44,62,75,59,48,41,41,66,47,44,54,40,25,51,23,22,Total
133,All Removal Reason,Nevada,A,693,39,24,24,31,30,31,22,24,26,30,29,26,39,26,36,32,35,32,31,36,33,27,27,28,21,16,Total
134,All Removal Reason,Nevada,B,313,12,11,10,19,14,11,15,7,15,16,9,22,22,14,18,14,9,16,15,8,15,8,14,11,9,1,Total
135,All Removal Reason,Nevada,AB,99,6,4,3,3,1,7,6,6,3,7,5,1,8,9,9,2,4,3,5,7,3,2,1,1,0,3,Total
136,All Removal Reason,New Hampshire,All ABO,"1,057",32,44,40,35,65,65,49,53,69,82,64,66,53,60,58,49,43,37,31,24,14,23,26,20,29,32,Total
137,All Removal Reason,New Hampshire,O,460,9,20,19,16,25,27,20,21,25,35,36,29,32,18,22,28,20,15,11,13,8,10,7,10,12,18,Total
138,All Removal Reason,New Hampshire,A,445,18,16,15,15,31,27,22,21,32,34,23,28,18,36,28,17,15,18,14,7,4,10,15,9,12,7,Total
139,All Removal Reason,New Hampshire,B,104,3,8,5,3,6,6,6,4,9,7,4,4,3,4,4,2,7,3,5,3,2,2,3,0,4,4,Total
140,All Removal Reason,New Hampshire,AB,48,2,0,1,1,3,5,1,7,3,6,1,5,0,2,4,2,1,1,1,1,0,1,1,1,1,3,Total
141,All Removal Reason,New Jersey,All ABO,"18,546",800,946,898,971,914,"1,059","1,185","1,095",945,973,930,926,962,978,859,911,885,711,697,676,628,588,393,354,309,293,Total
142,All Removal Reason,New Jersey,O,"8,636",369,438,457,461,424,484,605,522,442,449,462,440,430,473,395,435,390,315,332,301,297,263,167,154,133,145,Total
143,All Removal Reason,New Jersey,A,"5,913",261,305,241,301,298,338,326,333,297,310,275,279,316,302,271,291,301,249,217,228,201,209,129,139,112,97,Total
144,All Removal Reason,New Jersey,B,"3,099",138,157,151,153,150,182,214,205,157,170,153,158,167,154,145,142,153,115,114,108,95,83,68,51,44,40,Total
145,All Removal Reason,New Jersey,AB,901,32,46,49,56,42,55,40,35,49,44,40,49,49,49,48,44,41,32,34,39,35,33,29,10,20,11,Total
146,All Removal Reason,New Mexico,All ABO,"2,700",146,154,140,151,143,129,159,117,106,122,128,122,103,89,121,95,75,87,80,75,94,75,89,74,98,90,Total
147,All Removal Reason,New Mexico,O,"1,474",83,76,74,91,72,69,84,67,61,67,56,81,53,57,68,55,42,48,46,35,47,44,52,35,47,50,Total
148,All Removal Reason,New Mexico,A,901,43,47,48,44,53,40,56,40,32,45,51,32,37,24,39,33,25,29,27,35,39,26,23,26,35,29,Total
149,All Removal Reason,New Mexico,B,248,14,26,15,12,14,15,13,7,7,8,20,8,10,3,12,6,5,10,6,2,7,5,9,8,12,6,Total
150,All Removal Reason,New Mexico,AB,78,6,5,3,4,4,5,6,3,6,2,1,1,3,5,2,1,3,0,1,3,1,0,5,5,4,5,Total
151,All Removal Reason,New York,All ABO,"45,075","2,552","2,988","3,054","2,935","2,675","2,544","2,412","2,195","2,337","2,295","2,174","2,239","2,217","2,128","2,014","1,834","1,467","1,361","1,461","1,362","1,425","1,361","1,162","1,134",995,955,Total
152,All Removal Reason,New York,O,"21,222","1,214","1,415","1,480","1,431","1,255","1,133","1,161","1,047","1,064","1,109","1,087","1,086","1,057","1,032",961,805,728,625,694,627,664,655,509,544,439,448,Total
153,All Removal Reason,New York,A,"14,489",778,952,933,915,844,839,748,692,763,725,680,674,690,684,633,625,449,461,460,445,481,455,420,380,359,315,Total
154,All Removal Reason,New York,B,"7,326",448,482,502,465,457,456,380,365,393,349,325,384,362,310,319,303,235,218,233,224,229,187,185,172,144,153,Total
155,All Removal Reason,New York,AB,"2,045",112,139,139,124,119,116,123,91,117,112,82,95,108,102,101,101,56,57,74,66,51,64,48,38,53,39,Total
156,All Removal Reason,North Carolina,All ABO,"18,228","1,070","1,196","1,031","1,080","1,097","1,122","1,166","1,032","1,006",960,907,795,805,732,719,694,627,556,548,468,489,446,405,380,379,330,Total
157,All Removal Reason,North Carolina,O,"8,829",508,567,490,537,524,547,574,511,513,460,423,417,391,361,362,320,306,274,281,220,231,212,186,175,198,135,Total
158,All Removal Reason,North Carolina,A,"6,044",345,415,325,345,351,361,383,365,324,326,294,241,249,248,227,244,223,193,163,162,174,148,139,143,109,130,Total
159,All Removal Reason,North Carolina,B,"2,666",175,179,177,165,172,163,163,125,133,145,138,108,132,99,95,107,78,66,91,71,69,69,63,52,47,50,Total
160,All Removal Reason,North Carolina,AB,692,42,35,39,33,50,51,46,31,36,29,52,29,33,24,35,23,20,23,13,15,15,17,17,10,25,15,Total
161,All Removal Reason,North Dakota,All ABO,"1,238",59,80,67,67,77,76,51,57,46,47,38,41,47,52,48,43,49,51,71,57,27,44,40,28,39,27,Total
162,All Removal Reason,North Dakota,O,570,29,34,33,32,36,34,20,25,17,21,20,14,29,24,20,18,24,26,34,23,10,23,19,12,26,13,Total
163,All Removal Reason,North Dakota,A,487,22,33,26,24,31,32,24,19,22,16,14,19,13,18,19,22,17,21,28,26,11,13,15,14,12,11,Total
164,All Removal Reason,North Dakota,B,135,5,10,6,9,6,8,6,10,6,7,4,5,4,8,6,1,7,3,6,6,6,6,3,2,1,1,Total
165,All Removal Reason,North Dakota,AB,46,3,3,2,2,4,2,1,3,1,3,0,3,1,2,3,2,1,1,3,2,0,2,3,0,0,2,Total
166,All Removal Reason,Ohio,All ABO,"21,434","1,407","1,368","1,217","1,150","1,194","1,114","1,183","1,046",951,928,881,860,984,876,886,774,813,728,686,736,698,639,637,608,587,661,Total
167,All Removal Reason,Ohio,O,"9,803",651,646,536,492,564,525,534,497,449,465,405,408,450,403,385,344,402,346,332,314,331,290,286,267,262,307,Total
168,All Removal Reason,Ohio,A,"7,851",509,470,478,443,444,406,461,366,325,289,300,289,363,334,320,302,275,260,237,267,250,238,248,227,220,245,Total
169,All Removal Reason,Ohio,B,"2,906",182,189,158,167,146,147,151,146,135,140,145,121,129,98,142,92,102,92,85,117,89,92,76,88,78,89,Total
