,State,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
17,Kentucky,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.09,0.08,0.08,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.13,0.13,0.13,0.13,0.14,0.13
18,Louisiana,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.08,0.09,0.09,0.1,0.1,0.11,0.11,0.12,0.12,0.12,0.11,0.13,0.12,0.14,0.14,0.13
19,Maine,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.07,0.07,0.08,0.08,0.08,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11
20,Maryland,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.11,0.1,0.12,0.11
21,Massachusetts,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.1,0.09,0.09,0.1,0.09,0.08
22,Michigan,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.12,0.11
23,Minnesota,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09
24,Mississippi,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.1,0.11,0.1,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.15,0.14,0.14,0.14,0.15
25,Missouri,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.1,0.11,0.1,0.11,0.12,0.12,0.1,0.11,0.1
26,Montana,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.07,0.08,0.09,0.08,0.08,0.08,0.09,0.08
27,Nebraska,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0.1
28,Nevada,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.1,0.09,0.1,0.1,0.1,0.11,0.1,0.11,0.11
29,New Hampshire,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.1,0.09
30,New Jersey,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.11,0.1,0.1
31,New Mexico,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.1,0.1,0.11,0.12,0.12,0.12,0.11,0.13,0.12
32,New York,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.1,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.11
33,North Carolina,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.12,0.12
34,North Dakota,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09
35,Ohio,0.05,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.09,0.1,0.1,0.1,0.12,0.1,0.12,0.11,0.11,0.11,0.12,0.12
36,Oklahoma,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.11,0.12,0.12,0.12,0.13,0.12,0.12
37,Oregon,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.1,0.09,0.09,0.11,0.1,0.1,0.11,0.09
38,Pennsylvania,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.1,0.11,0.11,0.11,0.11
39,Rhode Island,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.1,0.09,0.09,0.09,0.1,0.09,0.11,0.1
40,South Carolina,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.12,0.12,0.13,0.12,0.12,0.13,0.13,0.13,0.13
41,South Dakota,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.1,0.08,0.09,0.09,0.09,0.08,0.11,0.09,0.11
42,Tennessee,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.13,0.14,0.14
43,Texas,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.12,0.13,0.12
44,Utah,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08
45,Vermont,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09
46,Virginia,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.11,0.11
47,Washington,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.1,0.09
48,West Virginia,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.14,0.15,0.15,0.15,0.16,0.16
49,Wisconsin,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.08,0.1,0.09,0.09,0.09
50,Wyoming,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.09,0.09,0.08
